Time,Voltage
2.05E-02,10.4
2.05E-02,9.8
2.05E-02,10.4
2.05E-02,10.4
2.05E-02,10.2
2.05E-02,10.6
2.05E-02,10.4
2.05E-02,10.4
2.05E-02,10.4
2.05E-02,10
2.05E-02,10.2
2.05E-02,10.4
2.05E-02,10.2
2.05E-02,10.4
2.05E-02,10.2
2.05E-02,10.2
2.05E-02,9.8
2.05E-02,10
2.05E-02,10.4
2.05E-02,10
2.05E-02,10.6
2.05E-02,10.2
2.06E-02,10.6
2.06E-02,10.2
2.06E-02,10.6
2.06E-02,10.2
2.06E-02,10.4
2.06E-02,10.8
2.06E-02,10.2
2.06E-02,10.6
2.06E-02,10.4
2.06E-02,10.4
2.06E-02,10.6
2.06E-02,10.6
2.06E-02,10.6
2.06E-02,10.6
2.06E-02,10.6
2.06E-02,10.6
2.06E-02,10.2
2.06E-02,10.6
2.06E-02,10.4
2.06E-02,10.6
2.06E-02,10.2
2.06E-02,10.4
2.06E-02,9.8
2.06E-02,10.6
2.06E-02,10.2
2.07E-02,10.4
2.07E-02,10.2
2.07E-02,10.4
2.07E-02,10.4
2.07E-02,10.4
2.07E-02,10.4
2.07E-02,10
2.07E-02,10.2
2.07E-02,10.6
2.07E-02,10.6
2.07E-02,9.8
2.07E-02,10.4
2.07E-02,10.4
2.07E-02,10.6
2.07E-02,9.8
2.07E-02,9.8
2.07E-02,10.2
2.07E-02,10.4
2.07E-02,10
2.07E-02,10.4
2.07E-02,10.2
2.07E-02,10.4
2.07E-02,10
2.07E-02,10
2.07E-02,10.6
2.08E-02,10
2.08E-02,10
2.08E-02,10.8
2.08E-02,10
2.08E-02,10.2
2.08E-02,10.2
2.08E-02,10.2
2.08E-02,10.2
2.08E-02,10.6
2.08E-02,9.8
2.08E-02,10.4
2.08E-02,9.8
2.08E-02,9.6
2.08E-02,10.2
2.08E-02,9.8
2.08E-02,10.4
2.08E-02,10.6
2.08E-02,10.2
2.08E-02,10.4
2.08E-02,10
2.08E-02,10.2
2.08E-02,10.4
2.08E-02,10.4
2.08E-02,10.4
2.08E-02,10.2
2.09E-02,10.2
2.09E-02,10.2
2.09E-02,10
2.09E-02,10.2
2.09E-02,10.4
2.09E-02,9.6
2.09E-02,10.2
2.09E-02,10.6
2.09E-02,10.4
2.09E-02,10
2.09E-02,10.4
2.09E-02,10.4
2.09E-02,10.2
2.09E-02,10.4
2.09E-02,10.2
2.09E-02,10.4
2.09E-02,10.2
2.09E-02,10.2
2.09E-02,10.2
2.09E-02,10.4
2.09E-02,10
2.09E-02,10.6
2.09E-02,10.2
2.09E-02,10.4
2.09E-02,10.6
2.10E-02,9.8
2.10E-02,10
2.10E-02,10.2
2.10E-02,10
2.10E-02,11.2
2.10E-02,10.2
2.10E-02,10.2
2.10E-02,10.4
2.10E-02,10.4
2.10E-02,10.4
